"date","site_no","precip_amount","min_temp","max_temp","min_humidity","max_humidity","specific_humidity","shortwave_radiation","wind_speed","ref_etr","ref_pet"
1979-01-01,"07143600",0,251.431578947368,262.205263157895,51.5368421052632,76,0.00071421052631579,105.973684210526,5.29473684210526,0.8,0.5
1979-01-02,"07143600",0,251.363157894737,263.226315789474,51.0263157894737,77.1684210526316,0.000711052631578947,109.215789473684,4.14210526315789,0.8,0.5
1979-01-03,"07143600",0,255.457894736842,267.594736842105,46.6421052631579,78.3894736842105,0.00107,91.4473684210526,2.1,0.731578947368421,0.5
1979-01-04,"07143600",0.989473684210526,257.721052631579,265.2,51.4947368421053,83.5315789473684,0.00110526315789474,74.7,4.34736842105263,0.8,0.536842105263158
1979-01-05,"07143600",0,258.921052631579,263.378947368421,48.1894736842105,79.821052631579,0.00105315789473684,75.6736842105263,2.37368421052632,0.6,0.4
1979-01-06,"07143600",0.531578947368421,258.721052631579,268.573684210526,55.1736842105263,82.4526315789474,0.00146105263157895,84.0421052631579,2.05789473684211,0.605263157894737,0.426315789473684
1979-01-07,"07143600",0,254.894736842105,267.5,49.3684210526316,85.0578947368421,0.00120578947368421,106.073684210526,4.10526315789474,0.8,0.5
1979-01-08,"07143600",0,251.247368421053,264.463157894737,35.6947368421053,80.0105263157895,0.000798947368421053,112.073684210526,3.87368421052632,0.8,0.5
1979-01-09,"07143600",0,256.042105263158,266.410526315789,61.3526315789474,86.6578947368421,0.00104421052631579,111.252631578947,3.00526315789474,0.8,0.510526315789474
1979-01-10,"07143600",0.763157894736842,257.457894736842,266.873684210526,58.1210526315789,83.2578947368421,0.00125263157894737,83.9578947368421,2.89473684210526,0.7,0.5
1979-01-11,"07143600",0.3,262.442105263158,272.457894736842,61.4526315789474,85.3421052631579,0.00191421052631579,84.1263157894737,4.57894736842105,1.15263157894737,0.773684210526316
1979-01-12,"07143600",5.84736842105263,263.368421052632,275.068421052632,66.5052631578947,92.5578947368421,0.00257631578947368,87.9263157894737,4.41052631578947,0.910526315789474,0.626315789473684
1979-01-13,"07143600",4.31578947368421,253.342105263158,271.326315789474,51.3,98.9789473684211,0.000988947368421053,85.8421052631579,9.43157894736842,1.99473684210526,1.26842105263158
1979-01-14,"07143600",0,249.084210526316,259.147368421053,47.9842105263158,76.2157894736842,0.000555789473684211,114.247368421053,3.38947368421053,0.594736842105263,0.4
1979-01-15,"07143600",0,252.836842105263,272.257894736842,57.6315789473684,86.4684210526316,0.00151789473684211,106.426315789474,5.65789473684211,1.13684210526316,0.736842105263158
1979-01-16,"07143600",0,254.442105263158,267.878947368421,52.6473684210526,90.1631578947369,0.00127210526315789,108.173684210526,2.72631578947368,0.678947368421053,0.484210526315789
1979-01-17,"07143600",0,259.494736842105,269.036842105263,62.8789473684211,91.1631578947369,0.00140105263157895,115.142105263158,2.2,0.815789473684211,0.557894736842105
1979-01-18,"07143600",12.1421052631579,260.936842105263,277.115789473684,57.6473684210526,99.6684210526316,0.00262,70.4210526315789,4.68947368421053,1.11052631578947,0.757894736842105
1979-01-19,"07143600",0,268.642105263158,276.121052631579,65.6263157894737,100,0.00286105263157895,116.284210526316,3.38421052631579,1.19473684210526,0.826315789473684
1979-01-20,"07143600",0,266.589473684211,276.510526315789,63.0315789473684,87.9,0.00267473684210526,99.6631578947368,7.14736842105263,1.62631578947368,1.05263157894737
1979-01-21,"07143600",0,263.031578947368,273.415789473684,54.5473684210526,84.4947368421053,0.00188157894736842,121.763157894737,5.09473684210526,1.48947368421053,0.989473684210526
1979-01-22,"07143600",0,265.963157894737,276.968421052632,60.5473684210526,86.2894736842105,0.00267105263157895,116.310526315789,5.63684210526316,1.55263157894737,1.03684210526316
1979-01-23,"07143600",1.32631578947368,257.221052631579,272.710526315789,53.0157894736842,83.2052631578947,0.00142368421052632,120.215789473684,7.84736842105263,1.76842105263158,1.10526315789474
1979-01-24,"07143600",0.831578947368421,254.942105263158,267.431578947368,53.7368421052632,83.0894736842105,0.00114631578947368,123.952631578947,3.51578947368421,0.852631578947368,0.6
1979-01-25,"07143600",4.32105263157895,260.736842105263,275.563157894737,65.5315789473684,92.2578947368421,0.00249631578947368,84.1947368421053,5.11578947368421,0.978947368421053,0.7
1979-01-26,"07143600",2.25263157894737,265.531578947368,273.610526315789,57.6315789473684,100,0.00213736842105263,83.3526315789474,5.83157894736842,1.52105263157895,1
1979-01-27,"07143600",0,262.178947368421,267.436842105263,53.6105263157895,84.8421052631579,0.00144157894736842,109.115789473684,5.9421052631579,1.13684210526316,0.778947368421053
1979-01-28,"07143600",0.873684210526316,254.984210526316,264.157894736842,50.0315789473684,83.2894736842105,0.000875789473684211,132.173684210526,3.42105263157895,0.836842105263158,0.6
1979-01-29,"07143600",5.92631578947368,254.578947368421,264.868421052632,57.8,79.8947368421053,0.00107473684210526,98.8,2.88947368421053,0.621052631578947,0.452631578947368
1979-01-30,"07143600",2.9,258.331578947368,263.668421052632,53.5631578947368,92.8894736842105,0.00108,87.5894736842105,4.56842105263158,0.8,0.547368421052632
1979-01-31,"07143600",0,252.673684210526,264.436842105263,43.0105263157895,81.6578947368421,0.00065,138.031578947368,3.08947368421053,0.978947368421053,0.678947368421053
1979-02-01,"07143600",0,253.226315789474,270.957894736842,51.5052631578947,83.9157894736842,0.00120210526315789,125.836842105263,4.76315789473684,1.32105263157895,0.873684210526316
1979-02-02,"07143600",0,254.521052631579,266.363157894737,49.8473684210526,85.7473684210526,0.000993157894736842,138.968421052632,3.83684210526316,0.963157894736842,0.673684210526316
